amazon,fr,fr,B079FL58GY,Mon Nov  5 03:14:04 2018,,,10.21,,,
amazon,fr,fr,B078VFM8RD,Mon Nov  5 03:14:04 2018,,,9.16,,,
amazon,fr,fr,B074F67GPR,Mon Nov  5 03:14:04 2018,,,16.66,,,
amazon,fr,fr,B074F67GPR,Mon Nov  5 03:14:04 2018,,,16.66,,,,amazon,fr,fr,B0765VG9KZ,Mon Nov  5 03:14:04 2018,,,10.37,,,
amazon,fr,fr,B079FBG23D,Mon Nov  5 03:14:03 2018,,,,,
amazon,fr,fr,B01CS9EV7S,Mon Nov  5 03:14:04 2018,,,10.85,,,
amazon,fr,fr,B07D62TJ55,Mon Nov  5 03:14:04 2018,,,12.78,,,
amazon,fr,fr,B00ISCOP7G,Mon Nov  5 03:14:05 2018,,,6.81,,,
amazon,fr,fr,B0080E052Q,Mon Nov  5 03:14:05 2018,,,21.99,,,
amazon,fr,fr,B00A7RSUBW,Mon Nov  5 03:14:07 2018,,,9.42,,,
amazon,fr,fr,B0749XYNB8,Mon Nov  5 03:14:07 2018,,,14.31,,,
amazon,fr,fr,B00L11Z660,Mon Nov  5 03:14:06 2018,,,9.21,,,
amazon,fr,fr,B00L11Z1Z6,Mon Nov  5 03:14:06 2018,,,8.12,,,
amazon,fr,fr,B06Y68NH29,Mon Nov  5 03:14:07 2018,,,21.41,,,
amazon,fr,fr,B00WVD7TO4,Mon Nov  5 03:14:08 2018,,,4.24,,,
amazon,fr,fr,B00L11YMI8,Mon Nov  5 03:14:08 2018,,,8.37,,,
amazon,fr,fr,B06XPJ89M5,Mon Nov  5 03:14:08 2018,,,,,
amazon,fr,fr,B00IKJEFO0,Mon Nov  5 03:14:08 2018,,,5.06,,,
amazon,fr,fr,B06Y2T1YHD,Mon Nov  5 03:14:08 2018,,,,,
amazon,fr,fr,B06Y2CQBFP,Mon Nov  5 03:14:08 2018,,,,,
amazon,fr,fr,B00L11XZEA,Mon Nov  5 03:14:10 2018,,,8.39,,,
